dir,frames?,IMU?,era,eligible_recordings,recording_count,flight_log_count,notes,frame_sizes_seen
fixtures\20260713T190414-phase1,False,False,phase1,0,0,1,excluded: no .aigprec recording files,
fixtures\20260713T193402-phase1b,False,False,phase1b,0,0,1,excluded: no .aigprec recording files,
fixtures\20260713T195441-phase1c,False,False,phase1c,0,0,1,excluded: no .aigprec recording files,
fixtures\20260713T201500-phase1d,False,False,phase1d,0,0,1,excluded: no .aigprec recording files,
fixtures\20260713T203515-phase1e,False,False,phase1e,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714-analysis-slices,False,False,unknown,0,0,0,excluded: no .aigprec recording files,
fixtures\20260714T042010-phase1f,False,False,phase1f,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T050328-phase2a,False,False,phase2a,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T074233-phase2b,False,False,phase2b,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T083241-phase2c,False,False,phase2c,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T092428-phase2d,False,False,phase2d,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T111500-analysis-slices,False,False,unknown,0,0,0,excluded: no .aigprec recording files,
fixtures\20260714T114119-phase2f,False,False,phase2f,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T121124-phase2g,False,False,phase2g,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T123203-phase2h,False,False,phase2h,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T130512-phase2i,False,False,phase2i,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T134021-phase2j,False,False,phase2j,0,0,1,excluded: no .aigprec recording files,
fixtures\20260714T143643-phase2k,False,False,phase2k,0,0,2,excluded: no .aigprec recording files,
fixtures\20260714T181113-phase2l,False,False,phase2l,0,0,2,excluded: no .aigprec recording files,
fixtures\20260714T203252-phase3a-r2training,False,False,phase3a,0,0,3,excluded: no .aigprec recording files,
fixtures\20260714T212450-phase3b-r2training,True,True,phase3b,3,3,3,eligible,640x360
fixtures\20260715T052244-phase3c-r2training,True,True,phase3c,3,3,4,eligible,640x360
fixtures\20260715T135600-phase3d-r2training,True,True,phase3d,3,4,3,20260715T051458-6092dbc0: missing matching flight log,640x360
fixtures\20260715T190627-phase3e-r2training-slow,True,True,phase3e,4,4,4,eligible,640x360
fixtures\20260715T200734-phase3f-r2training-slow,True,True,phase3f,3,3,3,eligible,640x360
fixtures\20260715T211420-phase3g-r2training,True,True,phase3g,4,4,4,eligible,640x360
fixtures\20260716T023148-phase3h-r2training,True,True,phase3h,4,4,4,eligible,640x360
fixtures\20260716T115732-phase3i-r2training,True,True,phase3i,3,3,4,eligible,640x360
fixtures\20260716T123643-phase3j-r2training,False,False,phase3j,0,0,8,excluded: no .aigprec recording files,
fixtures\20260716T132549-phase3j-r2training-rerun,True,True,phase3j,4,4,6,eligible,640x360
fixtures\20260716T135229-phase4a-r2training-chain,True,True,phase4a,3,3,4,eligible,640x360
fixtures\20260716T144305-phase4b-r2training-chain,True,True,phase4b,3,3,3,eligible,640x360
fixtures\20260716T145727-phase4b-partial,False,False,phase4b,0,0,3,excluded: no .aigprec recording files,
fixtures\20260716T151454-phase4b-safemode,False,False,phase4b,0,0,1,excluded: no .aigprec recording files,
fixtures\20260716T154946-phase4b-r2training-chain-v2,True,True,phase4b,2,2,4,eligible,640x360
fixtures\20260716T174215-phase4c-r2training-chain,True,True,phase4c,3,3,3,eligible,640x360
fixtures\20260716T212744-phase5-closerange-frames,True,True,phase5,2,4,2,eligible,640x360
fixtures\20260717T092008-phase5b-confirm,True,True,phase5b,3,3,3,eligible,640x360
fixtures\20260717T100347-phase5c-ownership,True,True,phase5c,3,3,3,eligible,640x360
fixtures\20260717T102447-phase5d-vertical,True,True,phase5d,3,3,3,eligible,640x360
fixtures\20260717T143144-phase5e-shadow,True,True,phase5e,3,3,3,eligible,640x360
fixtures\20260717T152216-phase5f-terminal,True,True,phase5f,4,4,4,eligible,640x360
fixtures\20260717T154500-phase6a-control-old,True,True,phase6a,2,2,2,eligible,640x360
fixtures\20260717T154501-phase6a-dash,True,True,phase6a,2,2,2,eligible,640x360
fixtures\20260719T080320-phase6b-aligned-dash,True,True,phase6b,3,3,3,eligible,640x360
fixtures\20260719T121704-phase6c-true-vertical,True,True,phase6c,3,3,3,eligible,640x360
fixtures\20260719T134835-phase6d-fiction-guards,True,True,phase6d,3,4,3,eligible,640x360
fixtures\20260719T143556-phase6e-aim-tfv1,True,True,phase6e,3,3,3,eligible,640x360
fixtures\20260719T145242-phase6f-repeat,True,True,phase6f,3,3,3,eligible,640x360
fixtures\20260719T151340-phase6g-terminal-live,True,True,phase6g,3,3,3,eligible,640x360
fixtures\20260719T164956-phase6h-first-enable,True,True,phase6h,3,3,3,eligible,640x360
fixtures\20260719T173811-phase6i-rate-ab,True,True,phase6i,2,2,2,eligible,640x360
fixtures\20260719T204430-phase6i-r-rate-ab,True,True,phase6i,6,6,6,eligible,640x360
fixtures\20260720T054037-phase6j-block-a-cohort-2,True,True,phase6j,6,6,6,eligible,640x360
fixtures\20260720T063618-phase6k-cohort-2-redo,True,True,phase6k,6,6,6,eligible,640x360
fixtures\20260720T071602-phase6l-cohort-3,True,True,phase6l,6,6,6,eligible,640x360
fixtures\20260720T133508-phase7m-metrology-f1,True,True,phase7m,1,1,1,eligible,640x360
fixtures\20260720T134548-phase7m-metrology-f2,True,True,phase7m,1,1,1,eligible,640x360
fixtures\20260720T135040-phase7m-metrology-f3,True,True,phase7m,1,1,1,eligible,640x360
fixtures\20260720T142941-phase7m-metrology-f4,True,True,phase7m,1,1,1,eligible,640x360
fixtures\track-id-reference,False,False,unknown,0,0,0,excluded: no .aigprec recording files,
