era,era_family,clusters,flight_loao_rows,loao_u95_min,loao_u95_median,loao_u95_max,loao_any_pushes_over_gate,stratified_fit_authorized,note
phase5c,phase5,1,1,1.3250000000000002,1.3250000000000002,1.3250000000000002,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase5d,phase5,2,2,1.3250000000000002,1.35,1.375,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase5f,phase5,2,2,1.2750000000000001,1.3125,1.35,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6a,phase6,2,2,1.35,1.35,1.35,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6b,phase6,2,2,1.2750000000000001,1.3375000000000001,1.4000000000000001,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6d,phase6,1,1,1.3,1.3,1.3,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6e,phase6,2,2,1.35,1.425,1.5,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6f,phase6,1,1,1.3250000000000002,1.3250000000000002,1.3250000000000002,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6g,phase6,1,1,1.675,1.675,1.675,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6h,phase6,2,2,1.3,1.525,1.75,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6i,phase6,2,2,1.2750000000000001,1.4000000000000001,1.5250000000000001,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6j,phase6,1,1,1.75,1.75,1.75,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6k,phase6,1,1,1.475,1.475,1.475,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase6l,phase6,2,2,1.375,1.4500000000000002,1.5250000000000001,True,False,"lt6 clusters: diagnostic only, no release stratum"
phase7m,phase7,1,1,1.375,1.375,1.375,True,False,"lt6 clusters: diagnostic only, no release stratum"
