flight,flight_id,fixture_dir,fixture_path,era,recording_regime,recordings,log,frames,imu_samples,raw_detector_fixes,tracker_fixes,feature_side_rows,center_only_detections,feature_rows,level_roll,level_pitch
A001,20260714T210518-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad-flight.jsonl,42,1081,42,0,0,0,40,0.0,0.0
A002,20260714T210844-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad-flight.jsonl,47,2528,47,0,0,0,46,6.182213686425292e-06,-0.0007092762565850031
A003,20260714T211404-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad-flight.jsonl,51,2932,51,0,0,0,49,-2.393274874809876e-05,-0.020986050923134884
A004,20260715T045100-411f3135,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135-flight.jsonl,50,1077,50,0,0,0,48,0.0,0.0
A005,20260715T045458-411f3135,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135-flight.jsonl,50,3208,50,0,0,0,49,-0.007309996207925101,-0.3115412265628531
A006,20260715T051458-6092dbc0,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0-flight.jsonl,50,2865,50,0,0,0,49,-0.004113926653578621,0.01935582349920388
A007,20260715T121747-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559-flight.jsonl,39,2151,39,0,0,0,37,0.0,0.0
A008,20260715T122040-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559-flight.jsonl,41,3645,41,0,0,0,40,0.000502036814582392,-0.02892713188879219
A009,20260715T122352-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559-flight.jsonl,42,3408,42,0,0,0,40,0.0015081726490022388,-0.24102586112447955
A010,20260715T183716-8e6cf1f5,20260715T190627-phase3e-r2training-slow,fixtures\20260715T190627-phase3e-r2training-slow,phase3e,archive,fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5_r2e_slice_start.aigprec,fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5-flight.jsonl,37,1299,37,0,0,0,35,0.0,0.0
A011,20260715T184758-8e6cf1f5,20260715T190627-phase3e-r2training-slow,fixtures\20260715T190627-phase3e-r2training-slow,phase3e,archive,fixtures\20260715T190627-phase3e-r2training-slow\20260715T184758-8e6cf1f5_r2e_slice_start.aigprec,fixtures\20260715T190627-phase3e-r2training-slow\20260715T184758-8e6cf1f5-flight.jsonl,50,5344,50,0,0,0,48,-0.00020287242025655267,-0.016280970024275723
A012,20260715T185046-8e6cf1f5,20260715T190627-phase3e-r2training-slow,fixtures\20260715T190627-phase3e-r2training-slow,phase3e,archive,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185046-8e6cf1f5_r2e_slice_start.aigprec,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185046-8e6cf1f5-flight.jsonl,50,3958,50,0,0,0,49,0.027654877478656487,-0.024277320677675004
A013,20260715T185843-7f28e2fb,20260715T190627-phase3e-r2training-slow,fixtures\20260715T190627-phase3e-r2training-slow,phase3e,archive,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185843-7f28e2fb_r2e_slice_start.aigprec,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185843-7f28e2fb-flight.jsonl,45,2702,45,0,0,0,43,0.019556364634558406,-0.4244342778613047
A014,20260715T195033-8edfeec4,20260715T200734-phase3f-r2training-slow,fixtures\20260715T200734-phase3f-r2training-slow,phase3f,archive,fixtures\20260715T200734-phase3f-r2training-slow\20260715T195033-8edfeec4_r2f_slice_start.aigprec,fixtures\20260715T200734-phase3f-r2training-slow\20260715T195033-8edfeec4-flight.jsonl,46,1576,46,0,0,0,44,0.0,0.0
