label,flight_id,fixture_dir,fixture_path,era,recording_regime,recordings,recording,log,contact_offset_m,metrology_only,gates_passed
A001,20260714T210518-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,['fixtures\\20260714T212450-phase3b-r2training\\20260714T210518-58cd98ad_r2_slice_start.aigprec'],fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad-flight.jsonl,0.162,False,0
A002,20260714T210844-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,['fixtures\\20260714T212450-phase3b-r2training\\20260714T210844-58cd98ad_r2_slice_start.aigprec'],fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad-flight.jsonl,0.162,False,0
A003,20260714T211404-58cd98ad,20260714T212450-phase3b-r2training,fixtures\20260714T212450-phase3b-r2training,phase3b,archive,['fixtures\\20260714T212450-phase3b-r2training\\20260714T211404-58cd98ad_r2_slice_start.aigprec'],fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad_r2_slice_start.aigprec,fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad-flight.jsonl,0.162,False,0
A004,20260715T045100-411f3135,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,['fixtures\\20260715T052244-phase3c-r2training\\20260715T045100-411f3135_r2c_slice_start.aigprec'],fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135-flight.jsonl,0.162,False,0
A005,20260715T045458-411f3135,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,['fixtures\\20260715T052244-phase3c-r2training\\20260715T045458-411f3135_r2c_slice_start.aigprec'],fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135-flight.jsonl,0.162,False,0
A006,20260715T051458-6092dbc0,20260715T052244-phase3c-r2training,fixtures\20260715T052244-phase3c-r2training,phase3c,archive,['fixtures\\20260715T052244-phase3c-r2training\\20260715T051458-6092dbc0_r2c_slice_start.aigprec'],fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0_r2c_slice_start.aigprec,fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0-flight.jsonl,0.162,False,0
A007,20260715T121747-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,['fixtures\\20260715T135600-phase3d-r2training\\20260715T121747-22978559_r2d_slice_start.aigprec'],fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559-flight.jsonl,0.162,False,0
A008,20260715T122040-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,['fixtures\\20260715T135600-phase3d-r2training\\20260715T122040-22978559_r2d_slice_start.aigprec'],fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559-flight.jsonl,0.162,False,0
A009,20260715T122352-22978559,20260715T135600-phase3d-r2training,fixtures\20260715T135600-phase3d-r2training,phase3d,archive,['fixtures\\20260715T135600-phase3d-r2training\\20260715T122352-22978559_r2d_slice_start.aigprec'],fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559_r2d_slice_start.aigprec,fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559-flight.jsonl,0.162,False,0
A010,20260715T183716-8e6cf1f5,20260715T190627-phase3e-r2training-slow,fixtures\20260715T190627-phase3e-r2training-slow,phase3e,archive,['fixtures\\20260715T190627-phase3e-r2training-slow\\20260715T183716-8e6cf1f5_r2e_slice_start.aigprec'],fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5_r2e_slice_start.aigprec,fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5-flight.jsonl,0.162,False,0
