arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_anomalies,term_rows,engaged_rows,ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,e_z_min,e_z_max
control_speed1p8,1,20260719T190111-c126d904,1,True,False,,10.296999999991385,0,0,0.7448575949367089,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190111-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,2,20260719T190124-c126d904,1,True,False,,9.562000000005355,0,0,0.7437874892887746,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190124-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,3,20260719T190136-c126d904,1,True,False,,10.187000000005355,0,0,0.7450743868114194,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190136-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,4,20260719T190149-c126d904,1,True,False,,9.953000000008615,0,0,0.7444987775061125,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190149-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,5,20260719T190202-c126d904,1,True,False,,8.98399999999674,0,0,0.7443004023245418,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190202-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,6,20260719T190214-c126d904,1,True,False,,9.577999999979511,0,0,0.7456842105263158,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190214-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,7,20260719T190226-c126d904,1,True,False,,8.812999999994645,0,0,0.7440257352941176,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190226-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,8,20260719T190237-c126d904,0,False,True,environment collision (impulse=1.9),14.937000000005355,0,1,0.7456521739130435,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190237-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,9,20260719T190255-c126d904,0,False,True,environment collision (impulse=13.3),19.953000000008615,1,1,0.7454801124949779,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190255-c126d904,,0,0,0,0,0,0,0,0,,
control_speed1p8,10,20260719T190318-c126d904,0,False,True,environment collision (impulse=1.5),13.578000000008615,0,1,0.7451096621221103,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-23813aa-20260719T190107Z\control_speed1p8\20260719T190318-c126d904,,0,0,0,0,0,0,0,0,,
