arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_status_csv,term_anomalies,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,visible_scale_gate_reject_rows,capture_by_2p2,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,first_capture_range_m,e_z_at_capture,v_bz_at_capture,scale_gate_reject_rows_before_capture,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
control_speed1p8,1,20260720T063936-7713f02e,0,False,True,environment collision (impulse=1.2),14.375,0,1,0.7447817836812144,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T063936-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,135,0,10,142,0,27,0,0,-0.0006140769934982505,0.005611172919727278,-0.018334168666060923,183.5606474670338,28.910923095646176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,2,20260720T063953-7713f02e,1,True,False,,8.10899999999674,0,0,0.7482885729331227,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T063953-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,121,119,2,0,124,2,5,0,0,0.4371214013754902,-0.027677127662556065,0.06351901343174107,149.86931225038558,-30.192601980319907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,3,20260720T064004-7713f02e,1,True,False,,8.187000000005355,0,1,0.7454909819639278,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064004-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,114,0,2,117,0,10,0,0,-0.008097567232712842,0.0276611616953234,0.025977609925185205,254.69061465885454,122.98084856562903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,4,20260720T064016-7713f02e,1,True,False,,10.389999999984866,0,0,0.7433558111860373,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064016-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,145,0,2,149,0,20,0,0,0.022654485199921928,-0.08438777058727268,0.04618829680247364,-47.87204919623497,96.94869725040564,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,5,20260720T064029-7713f02e,1,True,False,,9.75,0,0,0.7481450948062655,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064029-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151,151,0,0,157,0,4,0,0,-0.00836773445719833,0.01859251671935353,0.034537064242201584,181.74764169904373,122.79386036707106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,6,20260720T064042-7713f02e,0,False,True,environment collision (impulse=1.5),5.125,0,1,0.7446300715990454,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064042-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,0,0,96,0,2,0,0,3.4207461569748787,0.6842345716279403,0.7956598447820462,184.5,36.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,7,20260720T064050-7713f02e,1,True,False,,10.40700000000652,0,0,0.745105716523101,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064050-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,140,1,1,143,1,23,0,0,-0.006633921502290641,0.04239168260977861,0.020351598491018176,263.1036454893195,87.85068583494618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,8,20260720T064103-7713f02e,0,False,True,environment collision (impulse=14.6),24.10999999998603,1,1,0.74645987862441,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064103-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151,151,0,0,151,0,11,0,0,0.13225123351732407,0.0024407234177776186,0.02562602847270057,162.95283254800995,-16.735206468208872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,9,20260720T064131-7713f02e,0,False,True,environment collision (impulse=1.3),6.062000000005355,0,1,0.7444816053511706,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064131-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,116,0,0,116,0,2,0,0,3.7209060370981697,0.4914517564366206,0.874754979864083,181.1325629418964,-38.163024426916905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,10,20260720T064140-7713f02e,1,True,False,,8.859000000025844,0,0,0.7441860465116279,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-46e9a64-46e9a64-20260720T063932Z\control_speed1p8\20260720T064140-7713f02e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,119,0,0,124,0,18,0,0,-0.0035204474168953545,-0.061065772251908915,0.08943389459472104,-69.04480271234738,63.82081686217978,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
