abort_reason,aborted,arm,duration_s,env_hits,finished,flight_id,gate_clips,gates_passed,idx,log_dir,overrun_frac,term_status_csv,term_anomalies,commit_ticks,commit_vision_fresh_ticks,commit_vision_stale_ticks,commit_vision_survival_frac,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,visible_scale_gate_reject_rows,capture_by_2p2,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,first_capture_range_m,e_z_at_capture,v_bz_at_capture,scale_gate_reject_rows_before_capture,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
environment collision (impulse=3.9),True,control_speed1p8,26.98499999998603,2,False,20260720T072108-7e3df6ed,0,0,1,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072108-7e3df6ed,0.7446939403260535,,,154,154,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,132,132,0,0,132,0,61,0,0,0.11024178490419584,2.9269817705883607,-54.544107303743985,4408.090537550009,-86620.71509536527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=4.0),True,control_speed1p8,26.35899999999674,2,False,20260720T072138-7e3df6ed,0,0,2,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072138-7e3df6ed,0.7460342146189736,,,268,268,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,193,191,0,2,191,6,59,0,0,0.5149227198840605,0.1153299956451989,-0.3674782370344638,195.8360557626718,-255.3585974198117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,control_speed1p8,45.01500000001397,2,False,20260720T072208-7e3df6ed,0,0,3,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072208-7e3df6ed,0.7480300697400598,,,180,180,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,131,5,0,131,5,92,0,0,1.741436117847481,0.2584189102566756,-0.21182318791815669,183.74306195749259,-119.15404434076359,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=1.2),True,control_speed1p8,6.062000000005355,1,False,20260720T072257-7e3df6ed,0,0,4,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072257-7e3df6ed,0.7438943894389439,,,14,14,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,0,0,99,0,16,0,0,2.918660661011496,0.49988516529372684,0.5440858702239928,187.40353735376613,-90.00639429603825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=1.3),True,control_speed1p8,45.0,3,False,20260720T072306-7e3df6ed,0,0,5,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072306-7e3df6ed,0.7459546925566343,,,789,789,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424,408,9,7,413,10,193,0,0,1.1470037002301348,0.04448490391749781,-0.1746925575735501,166.20537198386683,91.84392759904192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,control_speed1p8,45.015999999974156,1,False,20260720T072355-7e3df6ed,0,0,6,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072355-7e3df6ed,0.7459469250973644,,,178,178,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,127,0,3,128,6,61,0,0,0.0045969425448558615,-0.6546471835849061,1.3111344869891572,-1367.3317914398865,3116.9016297726143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,control_speed1p8,45.01500000001397,3,False,20260720T072443-7e3df6ed,0,0,7,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072443-7e3df6ed,0.746183029517905,,,1030,1030,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,516,509,1,6,509,3,298,0,0,0.6032618785481385,-0.02255496852209012,-0.727676560903372,154.01786339919298,-145.82552103236182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=1.6),True,control_speed1p8,14.297000000020489,2,False,20260720T072532-7e3df6ed,0,0,8,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072532-7e3df6ed,0.7461782520911451,,,165,165,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,126,0,1,126,0,64,0,0,2.0164088093660255,0.49622903041480476,0.012641500126410854,199.3752717690872,-100.7737589056319,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,control_speed1p8,45.01600000000326,2,False,20260720T072550-7e3df6ed,0,0,9,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072550-7e3df6ed,0.7463709313858083,,,157,157,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,136,0,2,138,0,53,0,0,1.0524401147126938,0.3559467649750096,-0.3195762600287947,214.1137510817409,-123.16727140218785,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=4.9),True,control_speed1p8,27.85899999999674,2,False,20260720T072638-7e3df6ed,0,0,10,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-4fc71bb-4fc71bb-20260720T072104Z\control_speed1p8\20260720T072638-7e3df6ed,0.749024902490249,,,380,380,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,219,211,1,7,227,1,120,0,0,0.43857080410732524,0.0037504027020117247,-0.7698251942865162,161.36822703814784,-158.51151731042978,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
