arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_status_csv,term_anomalies,commit_ticks,commit_vision_fresh_ticks,commit_vision_stale_ticks,commit_vision_survival_frac,term_rows,engaged_rows,ready_rows,ready_legacy_rows,ready_current_only_rows,ready_legacy_only_rows,engaged_ready_rows,engaged_ready_legacy_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,visible_scale_gate_reject_rows,capture_by_2p2,source_full_quad_rows,source_side_pair_rows,source_other_rows,owner_term_full_quad_rows,owner_term_side_pair_rows,applied_full_quad_rows,applied_side_pair_rows,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,first_capture_range_m,e_z_at_capture,v_bz_at_capture,scale_gate_reject_rows_before_capture,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
control_speed1p8,1,20260720T081710-7e3df6ed,0,False,True,environment collision (impulse=1.9),20.062999999994645,0,2,0.7439680957128614,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081710-7e3df6ed,,,304,304,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,174,162,1,11,162,1,102,0,0,0,0,0,0,0,0,0,-0.0006772159111881806,0.24696990538022764,-0.45685379154885253,814.0182835184343,-1514.6009672123434,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,2,20260720T081733-7e3df6ed,0,False,True,environment collision (impulse=2.0),29.296999999991385,1,2,0.7438874470700724,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081733-7e3df6ed,,,436,436,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,286,273,1,12,274,1,123,0,0,0,0,0,0,0,0,0,0.9783818684437634,0.17702749378551894,-0.33942156039110594,188.95024930371662,22.846751463012268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,3,20260720T081805-7e3df6ed,0,False,True,max duration,45.01500000001397,0,2,0.7439871726349546,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081805-7e3df6ed,,,344,344,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,192,0,13,192,0,122,0,0,0,0,0,0,0,0,0,0.0031897206367516792,0.1292533597039103,-0.47003719838045116,476.89857851389075,-1502.2323711223207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,4,20260720T081854-7e3df6ed,0,False,True,max duration,45.01500000001397,0,1,0.7463145518675952,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081854-7e3df6ed,,,191,191,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,153,0,0,180,3,38,0,0,0,0,0,0,0,0,0,0.06485178959083648,-4.305705783443107,-88.89207510361834,-10462.882262731579,-235875.04418930662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,5,20260720T081943-7e3df6ed,1,True,False,,13.155999999988126,0,0,0.7470829391359193,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081943-7e3df6ed,,,216,216,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,170,0,2,170,0,58,0,0,0,0,0,0,0,0,0,0.3067318029506071,-0.20647702196630977,-0.21491742497443242,52.29573459022964,-177.3272445891305,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,6,20260720T081959-7e3df6ed,0,False,True,environment collision (impulse=5.6),35.655999999988126,0,3,0.7452273516140229,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T081959-7e3df6ed,,,215,215,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,135,0,4,137,0,47,0,0,0,0,0,0,0,0,0,0.023371073929083164,2.8613710514681285,-36.42802298809253,2769.3528929196955,-53425.1808775181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,7,20260720T082038-7e3df6ed,0,False,True,max duration,45.01600000000326,1,0,0.7479068911583402,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T082038-7e3df6ed,,,998,998,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,470,465,2,3,465,2,197,0,0,0,0,0,0,0,0,0,0.6192814926814231,0.017438989846373827,-0.5580067226163855,164.50560594559087,-12.558762554793788,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,8,20260720T082127-7e3df6ed,0,False,True,max duration,45.01600000000326,0,1,0.7452316076294278,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T082127-7e3df6ed,,,135,135,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,121,0,1,121,2,26,0,0,0,0,0,0,0,0,0,0.7992477992679344,-0.28749504760701544,-0.34912819462621236,102.44687610118521,-154.04133498949042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,9,20260720T082215-7e3df6ed,0,False,True,environment collision (impulse=2.7),20.437000000005355,0,3,0.7468175388967468,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T082215-7e3df6ed,,,135,135,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,155,0,1,155,3,35,0,0,0,0,0,0,0,0,0,0.7313315208745224,0.15385008849270104,-0.12268956627163641,193.65917296904757,-189.86716058145674,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,10,20260720T082239-7e3df6ed,0,False,True,max duration,45.01600000000326,1,1,0.7461974619746198,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\control_speed1p8\20260720T082239-7e3df6ed,,,213,213,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,188,188,0,0,189,0,38,0,0,0,0,0,0,0,0,0,0.17008092285581866,-0.03541494366450152,-0.4316197984859021,126.6841472213567,-501.55158663720556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terminal_speed1p8,1,20260720T082329-ccda84d6,0,False,True,max duration,45.014999999984866,0,1,0.7455024532073414,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-7b2626b-17fb31e-20260720T081707Z\terminal_speed1p8\20260720T082329-ccda84d6,tuning\terminal-ab-7b2626b-17fb31e-20260720T081707Z\term_status_live\01_20260720T082329-ccda84d6.csv,v_bz_applied while oracle not ready; readiness drop after applied; visible scale-gate rejects,80,80,0,1.0,80,75,18,18,0,0,18,18,56,56,57,0,50,1,0,0,0,50,114,114,112,0,2,112,1,47,18,0,80,0,0,56,0,56,0,0.5737431045447215,0.14679931635745655,-0.6568615067087632,200.93799198829805,-139.44053772029045,0,2.4209528594170386,0.7821361241830084,2.4209528594170386,2.1201656151614063,2.0339324500437215,2.1470551045916553,2.1201656151614063,2.0339324500437215,2.1470551045916553,2.113736559280851,0.7821361241830084,2.113736559280851,2.113736559280851,0.7821361241830084,2.113736559280851,2.113736559280851,0.07333146831015142,-0.05017129031093393,0,12,12,0,0.0,0.16293321423748014,0.0,0.08338119494782578,-0.0875876504586307,-0.0,0.026821460251088322
