arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_status_csv,term_anomalies,commit_ticks,commit_vision_fresh_ticks,commit_vision_stale_ticks,commit_vision_survival_frac,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,visible_scale_gate_reject_rows,capture_by_2p2,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,first_capture_range_m,e_z_at_capture,v_bz_at_capture,scale_gate_reject_rows_before_capture,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
control_speed1p8,1,20260720T073942-7e3df6ed,0,False,True,max duration,45.01500000001397,0,1,0.7449262405006706,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T073942-7e3df6ed,,,169,169,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,133,1,0,149,1,49,0,0,0.042774785751808014,-0.7650985958466525,-30.367216539757962,-204.66192470836376,-29353.33255517899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,2,20260720T074031-7e3df6ed,0,False,True,environment collision (impulse=2.1),5.85899999999674,0,1,0.7443298969072165,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074031-7e3df6ed,,,3,3,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,100,0,14,0,0,3.768540597521946,0.7785708861657342,0.6749133146190908,193.05559236072207,-10.260168874654013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,3,20260720T074040-7e3df6ed,0,False,True,max duration,45.015999999974156,0,5,0.7454427083333334,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074040-7e3df6ed,,,385,385,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,266,265,1,0,265,10,63,0,0,0.22188992510997593,-0.010447337263163646,-0.49939062787386135,152.46665227689948,-515.7157871954499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,4,20260720T074129-7e3df6ed,0,False,True,environment collision (impulse=1.7),16.84299999999348,0,2,0.7487103905674282,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074129-7e3df6ed,,,195,195,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,136,0,3,136,0,82,0,0,1.4439607100489902,-0.1819628062223392,-0.3330208395070019,139.8373676008217,-43.791557391159444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,5,20260720T074149-7e3df6ed,0,False,True,max duration,45.015999999974156,0,3,0.7486666042855806,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074149-7e3df6ed,,,157,157,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,153,0,3,158,2,65,0,0,0.5555146279097675,-0.027684418048677682,-0.4537585962499837,152.0263001814096,-98.51260123942356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,6,20260720T074237-7e3df6ed,1,True,False,,17.921999999991385,0,0,0.7471897224133975,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074237-7e3df6ed,,,321,321,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,219,0,1,223,0,89,0,0,0.15761136863420364,0.061156646933737596,-0.25151004565035295,222.08348797546407,-343.41792383273037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,7,20260720T074259-7e3df6ed,0,False,True,environment collision (impulse=1.9),13.01500000001397,0,2,0.744078745001538,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074259-7e3df6ed,,,187,187,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210,0,0,210,0,38,0,0,1.955315079756371,0.0015315525503397601,0.12881590737900273,160.12532425622416,-91.97795666076118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,8,20260720T074315-7e3df6ed,0,False,True,max duration,45.01600000000326,0,2,0.7457781005992373,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074315-7e3df6ed,,,244,244,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,153,0,3,153,0,71,0,0,0.40483147307096734,4.058694414303566,1.1402399206029306,1764.102322782428,1.3227467987820347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,9,20260720T074404-7e3df6ed,0,False,True,max duration,45.01500000001397,0,1,0.745407060518732,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074404-7e3df6ed,,,128,128,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,134,0,0,157,6,65,0,0,-0.008919234289845424,7.014991814085177,-26.555886435933513,2020.4932206247358,-6474.864354591636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,10,20260720T074452-7e3df6ed,0,False,True,environment collision (impulse=1.6),17.953000000008615,0,3,0.745143926983384,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-b74cbbf-89ba2cf-20260720T073938Z\control_speed1p8\20260720T074452-7e3df6ed,,,299,299,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,204,204,0,0,205,0,103,0,0,0.47219616756905025,-0.722513262894261,0.12386265812025632,-84.8180015060733,-206.24790951700027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
