arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_anomalies,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
control_speed1p8,1,20260720T042408-c126d904,0,False,True,environment collision (impulse=2.1),6.1710000000020955,0,1,0.7433628318584071,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042408-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,105,0,0,105,0,10,3.8120147897678662,0.5398950614676296,1.5745778039079368,182.6607751015785,77.78220430128265,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,2,20260720T042417-c126d904,1,True,False,,9.76600000000326,0,0,0.7459324155193993,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042417-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,149,0,0,154,0,9,0.1278976651705567,-0.043481477046503944,0.07092697553361701,105.6046651190767,57.03697077884171,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,3,20260720T042430-c126d904,1,True,False,,10.03100000001723,0,0,0.7439375256884505,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042430-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,158,0,3,162,0,5,0.20373591036107347,-0.09942359780327054,0.07871597357758219,81.91962810910194,24.9038351860914,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,4,20260720T042442-c126d904,1,True,False,,9.10899999999674,0,0,0.7456336766681594,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042442-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,140,0,1,143,0,4,-0.0005506725827014031,-0.08749972967087981,0.05417332474384401,-61.82762545572126,116.39209131121085,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,5,20260720T042454-c126d904,1,True,False,,10.578000000008615,0,1,0.7445838084378563,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042454-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,137,0,0,140,0,41,0.2256729859266688,0.05946821843842406,0.059689495208461146,202.16240110032342,22.771936165376687,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,6,20260720T042508-c126d904,1,True,False,,9.48399999999674,0,0,0.75055090348171,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042508-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,145,0,2,145,0,7,0.24315668575898228,-0.051666090597928364,0.08569918258198829,126.00309602894326,17.966661869817642,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,7,20260720T042520-c126d904,1,True,False,,9.030999999988126,0,0,0.7455459113750571,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042520-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,130,0,1,133,0,8,0.008286882463818292,0.10253683921913812,0.0717780064889257,489.6809144870218,209.83948790199278,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,8,20260720T042532-c126d904,0,False,True,environment collision (impulse=2.4),14.437000000005355,1,1,0.7578347578347578,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042532-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,129,0,2,131,1,31,0.5164355539820317,-0.14844656415159402,0.06779673871227959,114.00887858878625,-19.986160870907483,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,9,20260720T042549-c126d904,0,False,True,max duration,45.01600000000326,0,2,0.7470647128424501,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042549-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,650,646,1,3,649,2,136,0.7823385777512871,0.12425129275242587,0.16424009808132076,185.4112572302529,-14.249719052907665,0,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,10,20260720T042638-c126d904,1,True,False,,9.60899999999674,0,1,0.7449494949494949,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-be0c779-be0c779-20260720T042404Z\control_speed1p8\20260720T042638-c126d904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,147,0,1,155,0,4,0.05576905565045561,0.08276491934469514,0.06031482765598859,397.4504452460285,140.00162549410584,0,,,,,,,,,,,,,,,,,,,,,,,,,
