arm,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,gate_clips,env_hits,overrun_frac,log_dir,term_status_csv,term_anomalies,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,visible_scale_gate_reject_rows,capture_by_2p2,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,first_capture_range_m,e_z_at_capture,v_bz_at_capture,scale_gate_reject_rows_before_capture,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
control_speed1p8,1,20260720T054618-d4e09f00,1,True,False,,9.796999999991385,0,0,0.7472848788638262,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054618-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,146,0,1,151,0,7,0,0,-0.005228512148595252,0.09800885578176212,0.039998098368489804,438.6597475947361,75.26635965602641,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,2,20260720T054631-d4e09f00,1,True,False,,8.64100000000326,0,0,0.745754716981132,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054631-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,0,134,0,8,0,0,0.003184083722105078,0.0866558605414226,0.06977377518559724,374.27255445460037,144.64490294200544,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,3,20260720T054642-d4e09f00,1,True,False,,10.10899999999674,0,0,0.744281045751634,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054642-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,156,0,1,159,0,9,0,0,0.09458699029204212,0.07253489121323205,0.06374403927139345,282.69745086807717,73.30023165179904,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,4,20260720T054655-d4e09f00,1,True,False,,9.625,0,0,0.7479915433403805,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054655-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,138,0,2,142,0,17,0,0,0.08250530412013632,0.025109771535740177,0.05930073197029493,208.694608044453,97.87090446179766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,5,20260720T054708-d4e09f00,1,True,False,,11.219000000011874,0,1,0.7444690265486725,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054708-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,176,0,4,179,0,10,0,0,0.2909176068181647,0.07779582890453274,0.1084449629961665,202.78645339092634,28.980761055100167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,6,20260720T054722-d4e09f00,1,True,False,,11.375,0,1,0.7458840372226199,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054722-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183,183,0,0,186,0,8,0,0,0.22128487063378888,-0.08574699640357158,0.07512223158523715,98.00064421360145,17.53062849148627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,7,20260720T054737-d4e09f00,1,True,False,,8.34399999998277,0,0,0.7453838678328474,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054737-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,123,0,0,128,0,6,0,0,-0.006495193537510019,-0.043975693443599174,0.05779922204024805,84.49948737223603,179.98554700387257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,8,20260720T054748-d4e09f00,1,True,False,,9.125,0,0,0.7469986660738106,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054748-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,0,0,153,0,2,0,0,0.15050349731458948,-0.00034035225548715697,0.06962131058223175,159.6381721232423,44.04674301384023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,9,20260720T054800-d4e09f00,0,False,True,environment collision (impulse=7.8),19.828000000008615,1,1,0.7441576915261126,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054800-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,125,0,2,125,0,25,0,0,0.16622420679814762,-0.12751759121418238,-0.07147584241963759,37.257260014811806,-156.3819737569823,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control_speed1p8,10,20260720T054823-d4e09f00,1,True,False,,9.796999999991385,0,0,0.7444768653605669,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-e16d506-e16d506-20260720T054614Z\control_speed1p8\20260720T054823-d4e09f00,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149,147,0,2,149,0,9,0,0,-0.00834092075894501,-0.04621552018935991,0.04285537043715196,6.253410301681129,134.59895228025857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
