abort_reason,aborted,arm,duration_s,env_hits,finished,flight_id,gate_clips,gates_passed,idx,log_dir,overrun_frac,term_anomalies,term_rows,engaged_rows,ready_rows,engaged_ready_rows,owner_term_rows,applied_rows,engaged_not_ready_rows,applied_while_not_engaged_rows,applied_while_not_ready_rows,owner_transitions,owner_drop_while_engaged_ready,applied_sign_mismatch_rows,applied_sign_flip_rows,ready_drop_after_applied_rows,feature_rows,unique_feature_ts,feature_certified_rows,feature_probation_rows,feature_none_rows,detection_certified_rows,detection_probation_rows,detection_none_rows,closest_range_m,closest_lateral_m,closest_true_dz_m,closest_center_x_px,closest_center_y_px,vz_up_sign_mismatch_rows,first_engaged_range_m,min_engaged_range_m,max_engaged_range_m,first_ready_range_m,min_ready_range_m,max_ready_range_m,first_engaged_ready_range_m,min_engaged_ready_range_m,max_engaged_ready_range_m,first_owner_range_m,min_owner_range_m,max_owner_range_m,first_applied_range_m,min_applied_range_m,max_applied_range_m,ready_to_owner_delay_rows,ready_to_applied_delay_rows,owner_to_applied_delay_rows,e_z_min,e_z_max,vz_up_min,vz_up_max,v_bz_min,v_bz_max,v_bz_max_step
,False,control_speed1p8,8.828000000008615,0,True,20260719T203242-c126d904,0,1,1,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203242-c126d904,0.7502356267672008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,136,0,0,138,1,5,0.1525237183725285,-0.009121347962675176,0.062311343032777286,150.43154933802816,37.90594643179984,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,8.625,0,True,20260719T203254-c126d904,0,1,2,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203254-c126d904,0.747148288973384,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,129,1,1,131,1,5,0.12686651857506387,-0.05743980819276594,0.06662664972455487,87.55874903743944,56.427315483416855,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,9.625,0,True,20260719T203305-c126d904,0,1,3,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203305-c126d904,0.7445980985306828,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,150,0,0,152,0,4,0.11285753881074093,-0.027343021212367855,0.056147106792797746,121.23534643693213,51.91091154782626,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,9.014999999984866,0,True,20260719T203318-c126d904,0,1,4,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203318-c126d904,0.7450162262401484,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,135,1,1,138,1,7,0.024645211465162183,-0.019712677163762876,0.056453434542008976,106.81626728300579,128.9693695776521,0,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=3.2),True,control_speed1p8,5.889999999984866,2,False,20260719T203330-c126d904,0,0,5,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203330-c126d904,0.7461752433936022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,0,0,98,0,10,3.7140725115890665,0.707551629948949,1.6281189935176235,190.48089676186632,90.40387569644676,0,,,,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=9.1),True,control_speed1p8,18.530999999988126,1,False,20260719T203338-c126d904,0,0,6,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203338-c126d904,0.7471315092674315,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,0,131,0,10,-0.00574182435217516,-0.03212231653352948,0.05476976028084389,37.40834824625267,169.4817406524671,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,8.280999999988126,0,True,20260719T203400-c126d904,0,1,7,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203400-c126d904,0.7466131460110387,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,125,0,1,128,0,5,0.17572284706509167,0.0005115759629219013,0.07469376372781739,160.4658025716894,37.15100976665484,0,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,control_speed1p8,45.01600000000326,1,False,20260719T203411-c126d904,0,0,8,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203411-c126d904,0.7461531539638262,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,206,205,0,1,207,0,48,0.9713911388047494,-0.6615789376672616,0.2826968536258199,51.02985831535533,96.41688368415842,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,8.60899999999674,0,True,20260719T203459-c126d904,0,1,9,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203459-c126d904,0.7470280551592963,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,127,1,0,128,2,6,0.22768890236568362,-0.04625051228793867,0.04031803517111051,127.4991539368697,-14.775607209576037,0,,,,,,,,,,,,,,,,,,,,,,,,,
,False,control_speed1p8,9.922000000020489,0,True,20260719T203511-c126d904,0,1,10,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\control_speed1p8\20260719T203511-c126d904,0.7464905037159373,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,153,0,1,156,0,7,0.151432929256783,-0.05235659623313657,0.06755589165340671,104.68141481238219,44.28390656421925,0,,,,,,,,,,,,,,,,,,,,,,,,,
max duration,True,terminal_speed1p8,45.014999999984866,1,False,20260719T203526-12019d1c,0,0,1,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203526-12019d1c,0.7457336343115124,engaged but oracle never ready,251,161,0,0,0,0,161,0,0,0,0,0,0,0,131,131,126,2,3,132,2,56,0.0035227646264511803,0.0659303097039216,0.07407774303454744,343.0302026219735,135.1957680463788,0,2.486952676791412,-0.36230839174760826,2.493939802071627,,,,,,,,,,,,,,,,,,,,,,
environment collision (impulse=8.8),True,terminal_speed1p8,22.375,1,False,20260719T203614-12019d1c,1,0,2,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203614-12019d1c,0.7463520086470906,engaged+ready but owner never term,136,71,124,71,0,0,0,0,0,0,0,0,0,0,148,148,147,0,1,151,0,12,0.43285603275423684,0.12230792681694264,0.05394360303446194,205.2096466490088,-24.683388666197047,0,2.471640626943299,0.43285603275423684,2.471640626943299,3.2413875207152887,0.43285603275423684,3.2413875207152887,2.471640626943299,0.43285603275423684,2.471640626943299,,,,,,,,,,,,,,,,
environment collision (impulse=1.5),True,terminal_speed1p8,13.10899999999674,1,False,20260719T203640-12019d1c,0,0,3,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203640-12019d1c,0.7458476966468192,ready and engagement never overlapped,156,86,16,0,0,0,86,0,0,0,0,0,0,0,159,159,157,0,2,157,0,25,1.0679982819962386,-0.7426762951958337,0.5476781797868038,48.737454699621026,-14.820249165237556,0,2.465804201788199,1.0679982819962386,2.465804201788199,3.114238151672337,3.1124454968935837,3.21863986509913,,,,,,,,,,,,,,,,,,,
,False,terminal_speed1p8,9.125,0,True,20260719T203656-12019d1c,0,1,4,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203656-12019d1c,0.7475247524752475,engaged+ready but owner never term,121,73,84,50,0,0,23,0,0,0,0,0,0,0,132,132,131,1,0,133,1,16,0.1789984589674178,-0.05851198896210413,0.0565953944714534,107.6983305446179,4.120577269157025,0,2.48391188651585,0.1789984589674178,2.48391188651585,2.769714843392589,0.7284301432429356,2.919283954932099,2.48391188651585,0.7284301432429356,2.48391188651585,,,,,,,,,,,,,,,,
,False,terminal_speed1p8,9.39100000000326,0,True,20260719T203708-12019d1c,0,1,5,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203708-12019d1c,0.7456140350877193,engaged but oracle never ready,129,77,0,0,0,0,77,0,0,0,0,0,0,0,127,127,126,0,1,128,0,24,0.1307801796487326,-0.074343669308348,0.070405824753426,69.04594930757186,46.87093615558644,0,2.4896229446159284,0.1307801796487326,2.4896229446159284,,,,,,,,,,,,,,,,,,,,,,
,False,terminal_speed1p8,9.296999999991385,0,True,20260719T203720-12019d1c,0,1,6,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203720-12019d1c,0.7478260869565218,engaged+ready but owner never term,133,73,88,40,0,0,33,0,0,0,0,0,0,0,133,133,133,0,0,137,0,14,0.12461013291254794,-0.07347439995522374,0.05975316385889994,65.65852296228464,31.88164290391005,0,2.3497190676203292,0.12461013291254794,2.3497190676203292,2.9888150474361095,0.9422403267771539,3.151021124467839,2.3497190676203292,0.9422403267771539,2.3497190676203292,,,,,,,,,,,,,,,,
,False,terminal_speed1p8,9.46899999998277,0,True,20260719T203733-12019d1c,0,1,7,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203733-12019d1c,0.7467921300256629,engaged+ready but owner never term,129,81,116,81,0,0,0,0,0,0,0,0,0,0,128,128,127,0,1,130,0,22,0.06665693645251389,-0.1239213735785173,0.07960667773138161,-137.45471105903198,166.0605056044493,0,2.4981511652558965,0.06665693645251389,2.4981511652558965,2.710361902525467,0.06665693645251389,2.940923182826581,2.4981511652558965,0.06665693645251389,2.4981511652558965,,,,,,,,,,,,,,,,
,False,terminal_speed1p8,9.64000000001397,0,True,20260719T203745-12019d1c,0,1,8,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203745-12019d1c,0.7473370259906263,engaged+ready but owner never term,137,75,126,75,0,0,0,0,0,0,0,0,0,0,151,151,150,0,1,154,0,7,0.23249708619931173,-0.1523043440706814,0.07417117073158194,55.18709481623959,-5.729224901263024,0,2.4928559328085127,0.23249708619931173,2.4928559328085127,3.147687899805998,0.23249708619931173,3.3258457066058957,2.4928559328085127,0.23249708619931173,2.4928559328085127,,,,,,,,,,,,,,,,
environment collision (impulse=8.7),True,terminal_speed1p8,18.73399999999674,1,False,20260719T203758-12019d1c,1,0,9,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203758-12019d1c,0.7462333189840723,engaged+ready but owner never term,143,94,132,94,0,0,0,0,0,0,0,0,0,0,133,133,133,0,0,136,0,10,0.004310303647198654,-0.09553795558885135,0.08306689407161211,-70.1571586808792,163.60071984835446,0,2.4929183624364044,-0.19541379133365616,2.4929183624364044,2.8525562902527897,-0.19541379133365616,2.862657956233725,2.4929183624364044,-0.19541379133365616,2.4929183624364044,,,,,,,,,,,,,,,,
environment collision (impulse=1.6),True,terminal_speed1p8,6.062000000005355,1,False,20260719T203820-12019d1c,0,0,10,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-ab-f10b35c-f10b35c-20260719T203238Z\terminal_speed1p8\20260719T203820-12019d1c,0.7451891174518912,terminal enabled but no term_status rows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,108,0,0,108,0,10,3.867365450959488,0.7144326644107053,1.1369163067303587,189.557389327495,-17.97972692790819,0,,,,,,,,,,,,,,,,,,,,,,,,,
